Name,LineNum,Line
"lawleyianus, Unio Gentiluomo, 1868",17187,"lawleyianus, Unio Gentiluomo, 1868k, 1:98 [variation in spelling of lavvleyianus]"
"lawrencii, Goniobasis Lea, 1869",17188,"lawrencii, Goniobasis Lea, 1869a: 125"
"lawrenciana, Anomia Koninck, 1863",17189,"lawrenciana, Anomia Koninck, 1863, 19:6, plate 4: figures 7-9"
"lawsii, Nautilus Swallow, 1860",17190,"lawsii, Nautilus Swallow, 1860, 1:658"
"laxa, Clausilia Schmidt, in Küster, 1861",17191,"laxa, Clausilia Schmidt, in Küster, 1861 [in 1844-1862], 1(14):276, plate 31: figures 14-16"
"laxa, Melania Mousson, 1869",17192,"laxa, Melania Mousson, 1869c, 17:368, plate 15: figure 6"
"laxata, Stenotis A. Adams, 1863",17193,"laxata, Stenotis A. Adams, 1863g, 11:351; 1868c, 16:54, plate 4: figure 7"
"laxata, Vitrina Morelet, 1860",17194,"laxata, Vitrina Morelet, 1860d:144, plate 1: figure 3"
"laxatus, Serpulorbis Deshayes, 1861",17195,"laxatus, Serpulorbis Deshayes, 1861 [in 1856-1865], 2:287, plate 9: figure 15"
"laxispira, Stenogyra Martens, 1867",17196,"laxispira, Stenogyra Martens, 1867f, 2:373, plate 22: figure 14"
"laxus, Euomphalus Hall, 1862",17197,"laxus, Euomphalus Hall, 1862b, D:54, plate 6: figures 1, 2"
"layardi, Achatina Pfeiffer, 1858",17198,"layardi, Achatina Pfeiffer, 1858c, 5:238; 1859c:27, plate 43: figure 5; 1860 [in 1854-1869], 2:153, plate 40: figures 1-2"
"layardi, Ampullaria Reeve, 1856",17199,"layardi, Ampullaria Reeve, 1856 [in 1851-1870], 10(Ampullaria): plate 6: species 27"
"layardi, Calyptraea Reeve, 1858",17200,"layardi, Calyptraea Reeve, 1858 [in 1851-1870], 1 l(Calyptraea): plate 7: species 28"
"layardi, Capsa (Capsella) Deshayes, 1854",17201,"layardi, Capsa (Capsella) Deshayes, 1854c:348; Reeve, 1857 [in 1851-1870], 10(Capsella): plate 2: species 16"
"layardii, Cerithidea (Pirenella) A. Adams, 1854",17202,"layardii, Cerithidea (Pirenella) A. Adams, 1854d:86"
"layardi, Cyclophorus H. Adams, 1868",17203,"layardi, Cyclophorus H. Adams, 1868d:294, plate 28: figure 21"
"layardi, Galeomma Deshayes, 1855",17204,"layardi, Galeomma Deshayes, 1855a: 169; as Scintilla, G. Sowerby, 1862 [in 1847-1886]: 175, figure 20"
"layardi, Helix Pfeiffer, 1851",17205,"layardi, Helix Pfeiffer, 1851f:253; Reeve, 1852 [in 1851-1870], 7(Helix): plate 109: species 614; Pfeiffer, 1853 [in 1853-1854], l(123):402, plate 145: figures 3, 4; as Euplecta, C. Semper, 1870 [in 1870-1894]: 15, plate 3: figures 3 a,b; plate 6: figure 20"
"layardi, Lucina (Myrtaea) A. Adams, 1855",17206,"layardi, Lucina (Myrtaea) A. Adams, 1855b:225"
"layardi, Melania Dohrn, 1858",17207,"layardi, Melania Dohrn, 1858a:135; Reeve, 1859 [in 1851-1870], 12(Melania): plate 15: species 104"
"layardi, Mesodesma Deshayes, 1854",17208,"layardi, Mesodesma Deshayes, 1854c:339; Reeve, 1854 [in 1851- 1870], 8(Mesodesma): plate 4: species 30"
"layardi, Neritina Reeve, 1855",17209,"layardi, Neritina Reeve, 1855 [in 1851-1870], 9(Neritina): plate 24: species 105"
