Name,NameCanonical,Reconcile,ReconcileCanonical,IsDiffCanonical,OrigName,Phylum,LineNum,DatasetIDs,Line
"Andon pallegoixi G. Sowerby, 1867",Andon pallegoixi,"Anodon pallegoixi G. B. Sowerby II, 1867",Anodon pallegoixi,true,"pallegoixi, Andon G. Sowerby, 1867",Mollusca,22970,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pallegoixi, Andon G. Sowerby, 1867 [in 1865-1870], 17(Anodon): plate 8: species 18"
"Pisidium pallidium Gassies, 1855",Pisidium pallidium,"Pisidium pallidum Gassies, 1855",Pisidium pallidum,true,"pallidium, Pisidium Gassies, 1855",Mollusca,23010,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pallidium, Pisidium Gassies, 1855b, 20:343, plate 1: figure 10"
"Canthiridus pallidulus A. Adams, 1851",Canthiridus pallidulus,"Cantharidus pallidulus A. Adams, 1853",Cantharidus pallidulus,true,"pallidulus, Canthiridus A. Adams, 1851",Mollusca,23019,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pallidulus, Canthiridus A. Adams, 1851d: 170"
"Trigona pandicosta Meek, 1864",Trigona pandicosta,Trigonia pandicosta Meek 1864,Trigonia pandicosta,true,"pandicosta, Trigona Meek, 1864",Mollusca,23077,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pandicosta, Trigona Meek, 1864c, 1:48, plate 8: figure 7"
"Purpura panza Gould, 1853",Purpura panza,"Purpura pansa Gould, 1853",Purpura pansa,true,"panza, Purpura Gould, 1853",Mollusca,23097,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","panza, Purpura Gould, 1853, 6:406"
"Helix neglecla papulosa A. Moquin-Tandon, 1855",Helix neglecla papulosa,Helix neglecta,Helix neglecta,true,"papulosa, Helix neglecla A. Moquin-Tandon, 1855",Mollusca,23125,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","papulosa, Helix neglecla A. Moquin-Tandon, 1855b, 2:251"
"Ceromya papyracea Sharpe, 1856",Ceromya papyracea,Cercomya papyracea,Cercomya papyracea,true,"papyracea, Ceromya Sharpe, 1856",Mollusca,23130,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","papyracea, Ceromya Sharpe, 1856a, 7:195, plate 22: figure 8"
"Plicatula papyracea Terquem, 1855",Plicatula papyracea,Plicatula papiracea Stoppani 1865,Plicatula papiracea,true,"papyracea, Plicatula Terquem, 1855",Mollusca,23136,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","papyracea, Plicatula Terquem, 1855b, 5:327, plate 24: figure 6"
"Cochliolepsis parasiticus Stimpson, 1858",Cochliolepsis parasiticus,"Cochliolepis parasitica W. Stimpson, 1858",Cochliolepis parasitica,true,"parasiticus, Cochliolepsis Stimpson, 1858",Mollusca,23194,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","parasiticus, Cochliolepsis Stimpson, 1858, 6:308, figures; Holmes, 1860 [in 1858-1860]:93, plate 14: figures 9 a,b"
"Rostellaria parkinsonii Quenstedt, 1856",Rostellaria parkinsonii,Rostellaria parkinsoni,Rostellaria parkinsoni,true,"parkinsonii, Rostellaria Quenstedt, 1856",Mollusca,23261,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","parkinsonii, Rostellaria Quenstedt, 1856 [in 1856-1858]:489, plate 65: figure 25"
"Leda partim-striata Wood, 1864",Leda partim-striata,Leda partimstriata (Wood 1864),Leda partimstriata,true,"partim-striata, Leda Wood, 1864",Mollusca,23273,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","partim-striata, Leda Wood, 1864 [in 1861-1871], 1:129, plate 17: figures I a-c"
"Nerinea partschii Peters, 1855",Nerinea partschii,Nerinea partschi,Nerinea partschi,true,"partschii, Nerinea Peters, 1855",Mollusca,23282,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","partschii, Nerinea Peters, 1855, 16:352, plate 2: figures 12-14"
"Aeolis parvula Pease, 1860",Aeolis parvula,Aeolus parvulus,Aeolus parvulus,true,"parvula, Aeolis Pease, 1860",Mollusca,23323,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","parvula, Aeolis Pease, 1860a:35"
"Helix pascali Mabille, 1868",Helix pascali,Helix pascalia,Helix pascalia,true,"pascali, Helix Mabille, 1868",Mollusca,23384,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pascali, Helix Mabille, 1868 [in 1867-1868], 20:22"
"Helix patasensis Pfeiffer, 1859",Helix patasensis,"Helix patesensis L. Pfeiffer, 1859",Helix patesensis,true,"patasensis, Helix Pfeiffer, 1859",Mollusca,23404,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","patasensis, Helix Pfeiffer, 1859c:24, plate 43: figure 6; 1860 [in 1854- 1869], 2:157, plate 41: figures 8-10"
"Ancylus pattelloides W. Binney, 1865",Ancylus pattelloides,Ancylus patelloides,Ancylus patelloides,true,"pattelloides, Ancylus W. Binney, 1865",Mollusca,23431,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pattelloides, Ancylus W. Binney, 1865d, 2:144, figure 241 [variation in spelling of pat el hides]"
"Helix paulus Morelet, 1860",Helix paulus,Helix pauli,Helix pauli,true,"paulus, Helix Morelet, 1860",Mollusca,23502,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","paulus, Helix Morelet, 1860 [in 1858-1875]:63, plate 4: figure 7"
"Helix paupera Philippi, 1860",Helix paupera,Helix pauper,Helix pauper,true,"paupera, Helix Philippi, 1860",Mollusca,23509,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","paupera, Helix Philippi, 1860:183, plate 7: figure 9"
"Pholas pechelii J. Sowerby, in Dixon, 1850",Pholas pechelii,Pholas pechellii Dixon 1850,Pholas pechellii,true,"pechelii, Pholas J. Sowerby, in Dixon, 1850",Mollusca,23574,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pechelii, Pholas J. Sowerby, in Dixon, 1850:115,223, plate 14: figure 10"
"Helix pellis-boae Hupe, 1853",Helix pellis-boae,"Helix pellisboae Hupé, 1853",Helix pellisboae,true,"pellis-boae, Helix Hupe, 1853",Mollusca,23654,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","pellis-boae, Helix Hupe, 1853, 5:299, plate 9; as boa, 1857:6, plate 1: figure 3 [4]"
